,shipment_id,Type,Pieces,Weight,box_original,box_final,pack_date_time,Status,pick_date_time,pick_pack_time,same_box,pieces_over_1,session
17,URNhhyTzR82,STANDARD,1,5.12,N16,N16,2022-05-03 19:06:44,Packed On Time,2022-03-05 18:30:55,35.82,True,False,Eve
18,UR6MyVCzj82,STANDARD,1,5.12,N16,N16,2022-05-03 09:29:16,Packed On Time,2022-03-05 09:20:07,9.15,True,False,Morning
19,URglncTWK82,STANDARD,1,1.75,N7,N7,2022-05-03 10:39:04,Packed On Time,2022-03-05 09:22:13,76.85,True,False,Morning
20,URJy7zSzb82,STANDARD,1,5.12,N16,N16,2022-05-03 19:07:46,Packed On Time,2022-03-05 18:31:40,36.1,True,False,Eve
21,URX0McyW782,STANDARD,1,1.75,N7,CUSTOMBOX,2022-05-04 07:14:37,Packed On Time,2022-03-05 20:26:50,647.78,False,False,Early Morning
22,URV8df5828282,STANDARD,1,0.42,N5,CUSTOMBOX,2022-05-04 12:01:13,Packed On Time,2022-04-05 11:13:20,47.88,False,False,Morning
23,URV3c826WV82,STANDARD,1,7.959,N30,N30,2022-05-04 06:59:33,Packed On Time,2022-03-05 19:40:54,678.65,True,False,Early Morning
24,URnjPtL82W82,STANDARD,1,0.83,N5,N5,2022-05-03 11:17:16,Packed On Time,2022-03-05 10:45:27,31.82,True,False,Morning
25,URCkyCr82T82,STANDARD,1,0.83,N5,N5,2022-05-02 11:34:36,Packed On Time,2022-02-05 11:12:46,21.83,True,False,Morning
26,URVYyPjT382,STANDARD,1,0.83,N5,N5,2022-05-02 11:33:34,Packed On Time,2022-02-05 11:12:52,20.7,True,False,Morning
27,URgnws082282,STANDARD,1,2.86,N1,N1,2022-05-02 12:17:40,Packed On Time,2022-02-05 11:40:46,36.9,True,False,Morning
28,URGbWTMWZ82,STANDARD,1,1.18,K20,K20,2022-05-02 13:00:52,Packed On Time,2022-02-05 10:49:28,131.4,True,False,Noon
29,URGJHJk82d82,STANDARD,1,0.69,N1,N1,2022-05-02 11:35:49,Packed On Time,2022-02-05 11:13:38,22.18,True,False,Morning
30,URGKfTyQr82,STANDARD,1,0.69,N1,N1,2022-05-02 11:37:21,Packed On Time,2022-02-05 11:13:43,23.63,True,False,Morning
31,URGQ8SWWj82,MITEM,4,5.32,N19,,2022-05-03 17:28:05,Packed On Time,2022-03-05 17:02:17,25.8,False,True,Eve
32,URX1FKBWx82,STANDARD,1,1.32,N16,N16,2022-05-04 06:32:14,Packed On Time,2022-03-05 20:21:48,610.43,True,False,Early Morning
33,UR32CDrwK82,STANDARD,1,3.44,SIOC,SIOC,2022-05-04 12:16:17,Packed On Time,2022-04-05 11:38:12,38.08,True,False,Morning
34,UR6qTmxTY82,STANDARD,1,0.74,N1,CUSTOMBOX,2022-05-01 10:45:29,Packed late Slam,2022-01-05 10:38:14,7.25,False,False,Morning
35,URcbMMtQN82,STANDARD,1,0.69,N1,N1,2022-05-02 11:40:37,Packed On Time,2022-02-05 11:13:49,26.8,True,False,Morning
36,URJT2TCwX82,STANDARD,1,6.439,SIOC,SIOC,2022-05-02 16:08:42,Packed On Time,2022-02-05 14:49:10,79.53,True,False,Noon
37,URwz8P8wY82,STANDARD,1,5.14,NOBOX,CUSTOMBOX,2022-05-02 16:54:02,Packed On Time,2022-02-05 16:08:09,45.88,False,False,Noon
38,UR17B61wS82,STANDARD,1,5.14,NOBOX,CUSTOMBOX,2022-05-03 17:17:03,Packed On Time,2022-03-05 16:39:12,37.85,False,False,Eve
39,URCmxX4Ww82,STANDARD,1,0.58,N1,CUSTOMBOX,2022-05-04 13:14:06,Packed On Time,2022-04-05 11:50:54,83.2,False,False,Noon
40,UR3j3rCWR82,STANDARD,1,1.82,N5,N5,2022-05-02 17:02:12,Packed On Time,2022-02-05 16:16:50,45.37,True,False,Eve
41,URwVrtswc82,STANDARD,1,0.74,N1,N1,2022-05-02 12:46:44,Packed On Time,2022-02-05 10:59:31,107.22,True,False,Morning
42,URX1fl1wW82,STANDARD,1,7.659,SIOC,SIOC,2022-05-02 14:47:03,Packed On Time,2022-02-05 14:10:31,36.53,True,False,Noon
43,URnb5nNhK82,STANDARD,1,0.85,N1,N1,2022-05-02 12:53:05,Packed On Time,2022-02-05 10:59:37,113.47,True,False,Morning
44,URV17HjwJ82,STANDARD,1,0.85,N1,CUSTOMBOX,2022-05-04 07:08:15,Packed On Time,2022-03-05 20:27:49,640.43,False,False,Early Morning
45,URg28xb828282,MITEM,2,1.7,N1,,2022-05-02 12:09:02,Packed On Time,2022-02-05 10:00:09,128.88,False,True,Morning
46,URgSZdhwr82,STANDARD,1,1.36,K20,K20,2022-05-04 17:16:16,Packed On Time,2022-04-05 16:13:19,62.95,True,False,Eve
47,URglF8Mww82,STANDARD,1,1.33,K20,K20,2022-05-05 07:11:53,Packed On Time,2022-05-05 06:50:41,21.2,True,False,Early Morning
48,URCRdYDwG82,STANDARD,1,2.3,NOBOX,CUSTOMBOX,2022-05-05 07:46:11,Packed On Time,2022-05-05 06:45:11,61.0,False,False,Early Morning
49,URJch3jWQ82,STANDARD,1,2.3,NOBOX,CUSTOMBOX,2022-05-05 07:47:55,Packed On Time,2022-05-05 06:45:38,62.28,False,False,Early Morning
50,URcqwHLZv82,STANDARD,1,3.44,SIOC,SIOC,2022-05-04 20:05:40,Packed On Time,2022-04-05 18:34:55,90.75,True,False,Eve
51,URJSDDlws82,STANDARD,1,1.38,K20,K20,2022-05-04 19:43:34,Packed On Time,2022-04-05 18:39:51,63.72,True,False,Eve
52,UR1rTwhZ882,STANDARD,1,0.08,N1,N5,2022-05-05 07:09:57,Packed On Time,2022-05-05 06:54:11,15.77,False,False,Early Morning
53,URVLd82lZ682,STANDARD,1,0.3,N1,CUSTOMBOX,2022-05-04 19:10:32,Packed On Time,2022-04-05 18:18:44,51.8,False,False,Eve
54,URC3SsPZc82,STANDARD,1,0.88,SIOC,SIOC,2022-05-04 15:54:07,Packed On Time,2022-04-05 15:20:10,33.95,True,False,Noon
55,URJFjKLwS82,STANDARD,1,3.6,NOBOX,CUSTOMBOX,2022-05-04 16:48:04,Packed On Time,2022-04-05 16:07:41,40.38,False,False,Noon
56,URJYtlRZj82,STANDARD,1,0.62,N31,CUSTOMBOX,2022-05-04 16:02:35,Packed On Time,2022-04-05 15:20:52,41.72,False,False,Noon
57,XBFCWvpwP,STANDARD,1,5.23,SIOC,SIOC,2022-06-01 07:06:19,Packed late Slam,2022-01-06 06:26:32,39.78,True,False,Early Morning
58,UR1NbPVZ482,STANDARD,1,0.77,N5,N5,2022-05-04 19:22:20,Packed On Time,2022-04-05 16:18:18,184.03,True,False,Eve
59,URCkqb7wG82,STANDARD,1,1.94,N6,K20,2022-05-04 07:41:11,Packed On Time,2022-04-05 06:54:57,46.23,False,False,Early Morning
60,URNk1hbTz82,STANDARD,1,6.0,N14,N14,2022-05-03 11:05:03,Packed On Time,2022-03-05 10:41:21,23.7,True,False,Morning
61,URgWf30Zc82,STANDARD,1,0.131,N1,N1,2022-05-05 07:09:36,Packed On Time,2022-04-05 19:55:22,674.23,True,False,Early Morning
62,URXKRFnbv82,STANDARD,1,13.959,SIOC,SIOC,2022-05-05 15:32:18,Packed On Time,2022-05-05 14:56:17,36.02,True,False,Noon
63,URnfPw0bK82,STANDARD,1,1.36,K20,K20,2022-05-05 16:18:41,Packed On Time,2022-05-05 16:03:26,15.25,True,False,Noon
64,URJmsJ0bm82,STANDARD,1,1.94,N6,N6,2022-05-03 07:26:46,Packed On Time,2022-02-05 20:19:32,667.23,True,False,Early Morning
65,URX5f1Pb8282,STANDARD,1,1.94,N6,N6,2022-05-03 07:29:54,Packed On Time,2022-02-05 20:19:54,670.0,True,False,Early Morning
66,URcZRPgZm82,STANDARD,1,1.52,K20,K20,2022-05-05 16:57:15,Packed On Time,2022-05-05 15:26:16,90.98,True,False,Noon
67,URN3DRzbx82,STANDARD,1,1.52,K20,K20,2022-05-05 16:46:41,Packed On Time,2022-05-05 16:15:14,31.45,True,False,Noon
68,UR3NnZKw482,STANDARD,1,0.34,N30,LS2,2022-05-05 18:17:20,Packed On Time,2022-05-05 16:09:54,127.43,False,False,Eve
69,URGWnKTZL82,STANDARD,1,2.84,SIOC,SIOC,2022-05-03 10:45:57,Packed On Time,2022-03-05 09:33:39,72.3,True,False,Morning
70,UR6xj2Cbd82,STANDARD,1,2.84,SIOC,SIOC,2022-05-05 20:02:49,Packed On Time,2022-05-05 18:40:56,81.88,True,False,Eve
71,URGn5YRbk82,STANDARD,1,6.899,SIOC,SIOC,2022-05-05 15:49:35,Packed On Time,2022-05-05 15:31:24,18.18,True,False,Noon
72,URXZG5tb882,STANDARD,1,1.099,N30,N30,2022-05-05 16:04:17,Packed On Time,2022-05-05 15:39:11,25.1,True,False,Noon
73,URnm8XRbw82,STANDARD,1,1.86,SIOC,SIOC,2022-05-05 17:02:06,Packed On Time,2022-05-05 16:17:53,44.22,True,False,Eve
74,UR6BlxFbq82,STANDARD,1,5.2,N30,N30,2022-05-05 16:44:57,Packed On Time,2022-05-05 16:17:42,27.25,True,False,Noon
75,URgQmxCZ882,STANDARD,1,2.22,NOBOX,CUSTOMBOX,2022-05-05 17:02:06,Packed On Time,2022-05-05 16:08:28,53.63,False,False,Eve
76,UR382Cppbs82,STANDARD,1,1.0,K20,K20,2022-05-05 17:03:49,Packed On Time,2022-05-05 16:15:51,47.97,True,False,Eve
77,URNGKnNt382,STANDARD,1,0.65,N1,N1,2022-05-06 11:18:01,Packed On Time,2022-05-05 16:28:21,1129.67,True,False,Morning
78,URV3stXtP82,STANDARD,1,1.75,N7,N7,2022-05-05 18:51:53,Packed On Time,2022-05-05 17:11:32,100.35,True,False,Eve
79,URcRmS0tF82,STANDARD,1,4.6,NOBOX,CUSTOMBOX,2022-05-05 18:37:04,Packed On Time,2022-05-05 16:58:14,98.83,False,False,Eve
80,URNBd7vtd82,STANDARD,1,4.93,N16,N16,2022-05-03 19:27:14,Packed On Time,2022-03-05 18:56:37,30.62,True,False,Eve
81,UR3b0G0tD82,STANDARD,1,1.04,N1,N1,2022-05-05 18:49:48,Packed On Time,2022-05-05 17:12:08,97.67,True,False,Eve
82,URc802LtK82,STANDARD,1,3.079,N10,SIOC,2022-05-05 16:38:31,Packed On Time,2022-05-05 16:15:08,23.38,False,False,Noon
83,URg5kH1VD82,STANDARD,1,0.4,N7,N7,2022-05-06 16:28:24,Packed On Time,2022-06-05 13:51:23,157.02,True,False,Noon
84,URcrrzWt782,STANDARD,1,0.74,N7,N7,2022-05-06 08:32:59,Packed On Time,2022-05-05 19:47:20,765.65,True,False,Early Morning
85,URwTvDDtd82,STANDARD,1,0.74,N7,N7,2022-05-05 15:46:39,Packed On Time,2022-05-05 14:58:15,48.4,True,False,Noon
86,URJqyzjtF82,STANDARD,1,0.74,N7,N14,2022-05-04 20:34:32,Packed On Time,2022-04-05 19:06:21,88.18,False,False,Eve
87,URXQLH7t082,MITEM,3,2.22,N30,,2022-05-05 20:02:49,Packed On Time,2022-05-05 19:31:38,31.18,False,True,Eve
88,URXQYXJt182,STANDARD,1,0.74,N7,N7,2022-05-05 20:37:44,Packed On Time,2022-05-05 19:36:19,61.42,True,False,Eve
89,URGPkVyVz82,STANDARD,1,1.699,N19,N19,2022-05-05 16:26:13,Packed On Time,2022-05-05 15:27:57,58.27,True,False,Noon
90,URC0h3xbq82,STANDARD,1,0.74,N7,N7,2022-05-05 16:58:37,Packed On Time,2022-05-05 16:17:09,41.47,True,False,Noon
91,URNV7hJbV82,STANDARD,1,1.46,N5,N5,2022-05-06 09:31:03,Packed On Time,2022-05-05 19:03:08,867.92,True,False,Morning
92,URCCTrzVv82,STANDARD,1,4.66,SIOC,SIOC,2022-05-05 16:41:28,Packed On Time,2022-05-05 15:19:41,81.78,True,False,Noon
93,URnq5trVv82,STANDARD,1,6.08,NOBOX,CUSTOMBOX,2022-05-06 08:41:26,Packed On Time,2022-05-05 19:43:54,777.53,False,False,Early Morning
94,URnf6jYV882,STANDARD,1,2.15,N1,N1,2022-05-06 08:53:15,Packed On Time,2022-05-05 19:36:36,796.65,True,False,Early Morning
95,UR1nqQZbD82,MITEM,2,9.72,N31,,2022-05-06 07:05:14,Packed On Time,2022-05-05 19:40:36,684.63,False,True,Early Morning
96,URnfZjtZL82,STANDARD,1,1.52,K20,K20,2022-05-06 09:29:39,Packed On Time,2022-05-05 19:01:06,868.55,True,False,Morning
97,URNDjh5ZL82,STANDARD,1,1.52,K20,K20,2022-05-05 15:54:36,Packed On Time,2022-05-05 15:02:31,52.08,True,False,Noon
98,URX1wmQVr82,STANDARD,1,9.209,SIOC,SIOC,2022-05-05 15:19:44,Packed On Time,2022-05-05 15:06:50,12.9,True,False,Noon
99,URXTrmStx82,STANDARD,1,9.299,N17,N17,2022-05-05 15:37:49,Packed On Time,2022-05-05 14:57:43,40.1,True,False,Noon
100,URnwGZT2f82,STANDARD,1,3.88,N30,SIOC,2022-05-05 20:33:34,Packed On Time,2022-05-05 19:29:13,64.35,False,False,Eve
101,UR1sj3d2f82,STANDARD,1,8.379,K20,K20,2022-05-06 08:02:47,Packed On Time,2022-05-05 19:16:48,765.98,True,False,Early Morning
102,URc4ZXN2R82,STANDARD,1,3.47,SIOC,SIOC,2022-05-02 18:45:59,Packed On Time,2022-02-05 16:46:37,119.37,True,False,Eve
103,URCmyD1Mm82,STANDARD,1,9.759,SIOC,SIOC,2022-05-06 08:15:46,Packed On Time,2022-05-05 19:40:19,755.45,True,False,Early Morning
104,URVklDGMv82,STANDARD,1,0.62,N7,N7,2022-05-02 17:12:38,Packed On Time,2022-02-05 16:09:32,63.1,True,False,Eve
105,URnWZWx2F82,STANDARD,1,5.23,N10,N10,2022-05-06 07:55:12,Packed On Time,2022-05-05 19:12:00,763.2,True,False,Early Morning
106,URVVShH2d82,STANDARD,1,4.14,N30,N30,2022-05-06 08:13:10,Packed On Time,2022-05-05 19:46:36,746.57,True,False,Early Morning
107,URnNFz6Mf82,STANDARD,1,1.78,N14,N14,2022-05-06 08:32:38,Packed On Time,2022-05-05 19:37:36,775.03,True,False,Early Morning
108,UR1lcYWMT82,STANDARD,1,3.13,K20,K20,2022-05-06 08:30:33,Packed On Time,2022-05-05 19:44:47,765.77,True,False,Early Morning
109,URGPkjY2882,STANDARD,1,0.69,N7,N7,2022-05-06 08:41:37,Packed On Time,2022-05-05 19:38:48,782.82,True,False,Early Morning
110,URG2GdWw082,STANDARD,1,5.34,N5,N5,2022-05-06 08:39:02,Packed On Time,2022-05-05 19:49:21,769.68,True,False,Early Morning
111,URglw7W82d82,STANDARD,1,0.52,NOBOX,CUSTOMBOX,2022-05-06 08:21:30,Packed On Time,2022-05-05 19:43:13,758.28,False,False,Early Morning
112,URV0qxjMX82,STANDARD,1,1.55,N31,N31,2022-05-06 09:38:53,Packed On Time,2022-05-05 18:59:30,879.38,True,False,Morning
113,URcHQKVMC82,STANDARD,1,1.96,N6,N6,2022-05-06 08:27:25,Packed On Time,2022-05-05 19:33:19,774.1,True,False,Early Morning
114,URcWRyCBm82,STANDARD,1,0.658,N7,N7,2022-05-06 08:20:37,Packed On Time,2022-05-05 19:45:32,755.08,True,False,Early Morning
115,UR1JcHDBq82,STANDARD,1,2.15,N1,N1,2022-05-06 08:57:24,Packed On Time,2022-05-05 19:36:42,800.7,True,False,Early Morning
116,URw6PXSMn82,STANDARD,1,5.72,SIOC,SIOC,2022-05-06 08:03:39,Packed On Time,2022-05-05 19:51:09,732.5,True,False,Early Morning
117,URnJLsjBw82,STANDARD,1,0.74,N7,N7,2022-05-06 08:35:13,Packed On Time,2022-05-05 19:47:30,767.72,True,False,Early Morning
118,UR3JRsjBw82,STANDARD,1,0.74,N7,CUSTOMBOX,2022-05-06 08:38:10,Packed On Time,2022-05-05 19:47:37,770.55,False,False,Early Morning
119,URnvCpPB182,STANDARD,1,0.19,N1,N1,2022-05-06 08:12:18,Packed On Time,2022-05-05 19:27:54,764.4,True,False,Early Morning
120,URcqWw7g182,STANDARD,1,3.88,N30,SIOC,2022-05-05 20:38:56,Packed On Time,2022-05-05 19:29:47,69.15,False,False,Eve
121,URGdmb7gQ82,STANDARD,1,5.15,N5,N5,2022-05-06 08:47:19,Packed On Time,2022-05-05 19:41:07,786.2,True,False,Early Morning
122,URN7X4Vg8282,STANDARD,1,6.04,SIOC,SIOC,2022-05-06 07:52:06,Packed On Time,2022-05-05 19:31:44,740.37,True,False,Early Morning
123,URGrvBWgn82,MITEM,3,1.92,N1,,2022-05-06 08:05:43,Packed On Time,2022-05-05 19:54:43,731.0,False,True,Early Morning
124,URcHndpBs82,STANDARD,1,7.719,SIOC,SIOC,2022-05-06 08:27:04,Packed On Time,2022-05-05 19:32:35,774.48,True,False,Early Morning
125,URcN82CJBH82,STANDARD,1,1.049,N7,N7,2022-05-05 15:42:19,Packed On Time,2022-05-05 14:51:52,50.45,True,False,Noon
126,URV1NB5Bw82,STANDARD,1,1.049,N7,N7,2022-05-04 19:38:24,Packed On Time,2022-04-05 18:46:04,52.33,True,False,Eve
127,URV1psCg582,STANDARD,1,1.049,N7,N7,2022-05-06 08:17:41,Packed On Time,2022-05-05 19:44:31,753.17,True,False,Early Morning
128,UR6ktqpBL82,STANDARD,1,1.55,N31,N31,2022-05-06 09:41:08,Packed On Time,2022-05-05 18:59:46,881.37,True,False,Morning
129,URX8582mg8282,STANDARD,1,10.179,N17,N17,2022-05-02 16:46:43,Packed On Time,2022-02-05 16:12:43,34.0,True,False,Noon
130,URgh5sfbw82,STANDARD,1,2.599,SIOC,SIOC,2022-05-06 08:51:50,Packed On Time,2022-05-05 19:42:38,789.2,True,False,Early Morning
131,UR6ppkQVf82,STANDARD,1,2.599,SIOC,SIOC,2022-05-03 13:03:22,Packed On Time,2022-03-05 12:46:55,16.45,True,False,Noon
132,URNKKHXgZ82,STANDARD,1,9.209,SIOC,SIOC,2022-05-06 08:25:30,Packed On Time,2022-05-05 19:42:51,762.65,True,False,Early Morning
133,URc7mYCg482,STANDARD,1,9.209,SIOC,SIOC,2022-05-05 15:20:35,Packed On Time,2022-05-05 15:06:29,14.1,True,False,Noon
134,URcW0sMgq82,STANDARD,1,1.48,N17,CUSTOMBOX,2022-05-05 15:57:23,Packed On Time,2022-05-05 14:50:34,66.82,False,False,Noon
135,URwjWWkgv82,STANDARD,1,5.14,NOBOX,CUSTOMBOX,2022-05-02 17:00:29,Packed On Time,2022-02-05 16:08:33,51.93,False,False,Eve
136,URNFTWCgb82,STANDARD,1,5.14,NOBOX,CUSTOMBOX,2022-05-02 17:08:49,Packed On Time,2022-02-05 16:09:00,59.82,False,False,Eve
137,URwBLjpgp82,STANDARD,1,4.48,N14,N17,2022-05-06 11:52:36,Packed On Time,2022-05-05 19:44:03,968.55,False,False,Morning
138,URw70V7MX82,MITEM,2,3.4,N5,,2022-05-05 19:13:49,Packed On Time,2022-05-05 18:20:04,53.75,False,True,Eve
139,URNKdFBMC82,STANDARD,1,1.7,N5,N5,2022-05-06 15:52:50,Packed On Time,2022-06-05 14:13:35,99.25,True,False,Noon
140,URgVYHCB8282,STANDARD,1,2.599,N16,SIOC,2022-05-04 18:59:17,Packed On Time,2022-04-05 18:22:25,36.87,False,False,Eve
141,URJFbZYgB82,STANDARD,1,1.315,N1,N1,2022-05-06 18:54:21,Packed On Time,2022-06-05 16:25:11,149.17,True,False,Eve
142,URXY3n5gr82,STANDARD,1,7.439,N19,SIOC,2022-05-05 15:36:27,Packed On Time,2022-05-05 15:18:45,17.7,False,False,Noon
143,UR1BBH18v82,STANDARD,1,0.299,N5,N5,2022-05-06 09:36:16,Packed On Time,2022-05-05 19:01:48,874.47,True,False,Morning
144,URNjlMG8C82,STANDARD,1,1.7,NOBOX,CUSTOMBOX,2022-05-04 18:43:32,Packed On Time,2022-04-05 18:20:16,23.27,False,False,Eve
145,URJvyxx8F82,STANDARD,1,4.399,SIOC,SIOC,2022-05-05 19:14:51,Packed On Time,2022-05-05 16:42:47,152.07,True,False,Eve
146,URgP6cX8j82,STANDARD,1,5.86,SIOC,SIOC,2022-05-06 18:24:59,Packed On Time,2022-06-05 16:26:07,118.87,True,False,Eve
147,URNHsX3gs82,STANDARD,1,1.55,N31,CUSTOMBOX,2022-05-06 18:43:07,Packed On Time,2022-06-05 16:22:02,141.08,False,False,Eve
148,URnXYdg8n82,STANDARD,1,2.84,N5,N5,2022-05-06 17:15:16,Packed On Time,2022-06-05 16:23:23,51.88,True,False,Eve
149,URX8nbM88282,STANDARD,1,1.55,N31,CUSTOMBOX,2022-05-06 18:48:49,Packed On Time,2022-06-05 16:22:19,146.5,False,False,Eve
150,URGfCKG8t82,STANDARD,1,1.7,NOBOX,CUSTOMBOX,2022-05-06 18:51:15,Packed On Time,2022-06-05 16:48:14,123.02,False,False,Eve
151,Xsvk8j82PP,STANDARD,1,9.199,N19,N19,2022-05-06 17:03:22,Packed On Time,2022-06-05 16:03:31,59.85,True,False,Eve
152,URCppC88g82,STANDARD,1,0.87,N1,N1,2022-05-06 17:04:45,Packed On Time,2022-06-05 16:22:03,42.7,True,False,Eve
153,URnK8Yn8282,STANDARD,1,1.55,N31,CUSTOMBOX,2022-05-06 18:50:13,Packed On Time,2022-06-05 16:22:32,147.68,False,False,Eve
154,URg2m8P8b82,MITEM,2,0.34,N1,,2022-05-06 18:33:06,Packed On Time,2022-06-05 16:14:17,138.82,False,True,Eve
155,URXsws58T82,STANDARD,1,4.45,NOBOX,CUSTOMBOX,2022-05-06 19:14:00,Packed On Time,2022-06-05 16:19:57,174.05,False,False,Eve
156,URCFNfH8k82,MITEM,3,7.98,N19,,2022-05-05 15:01:19,Packed On Time,2022-05-05 14:41:02,20.28,False,True,Noon
157,URGX825b2D82,STANDARD,1,2.29,N7,N7,2022-05-04 16:00:21,Packed On Time,2022-04-05 15:20:34,39.78,True,False,Noon
158,URV14wS8M82,STANDARD,1,2.29,N7,N7,2022-05-03 19:40:18,Packed On Time,2022-03-05 18:25:35,74.72,True,False,Eve
159,URVC7fZ8182,STANDARD,1,1.8,N7,CUSTOMBOX,2022-05-06 18:37:34,Packed On Time,2022-06-05 16:17:11,140.38,False,False,Eve
160,URNvXPHgN82,STANDARD,1,2.999,N7,N7,2022-05-05 15:46:59,Packed On Time,2022-05-05 15:05:54,41.08,True,False,Noon
161,URNv72N8k82,STANDARD,1,0.43,N5,CUSTOMBOX,2022-05-05 15:27:59,Packed On Time,2022-05-05 14:52:31,35.47,False,False,Noon
162,URNvlZggr82,MITEM,2,4.58,N7,,2022-05-05 15:09:47,Packed On Time,2022-05-05 14:59:25,10.37,False,True,Noon
163,UR3l0L2BH82,STANDARD,1,1.28,N7,N7,2022-05-05 15:45:47,Packed On Time,2022-05-05 15:19:43,26.07,True,False,Noon
164,URc5HPfBr82,STANDARD,1,5.41,N10,N10,2022-05-06 08:43:10,Packed On Time,2022-05-05 19:41:00,782.17,True,False,Early Morning
165,URNvNPK2t82,STANDARD,1,5.41,N10,CUSTOMBOX,2022-05-05 16:40:26,Packed On Time,2022-05-05 15:58:10,42.27,False,False,Noon
166,UR1kSv8Bf82,STANDARD,1,5.41,N10,CUSTOMBOX,2022-05-05 16:43:12,Packed On Time,2022-05-05 15:58:21,44.85,False,False,Noon
167,UR6b4Cw8L82,STANDARD,1,5.41,N10,CUSTOMBOX,2022-05-05 16:45:28,Packed On Time,2022-05-05 15:58:31,46.95,False,False,Noon
168,URNtcGJ8F82,STANDARD,1,0.88,N7,N6,2022-05-05 15:22:49,Packed On Time,2022-05-05 14:53:40,29.15,False,False,Noon
169,URCR2VcDf82,STANDARD,1,2.5,N19,N16,2022-05-06 18:41:12,Packed On Time,2022-06-05 16:35:40,125.53,False,False,Eve
170,URcsw6qD282,STANDARD,1,4.57,N5,N5,2022-05-05 15:05:38,Packed On Time,2022-05-05 14:45:57,19.68,True,False,Noon
171,URGSvq78r82,STANDARD,1,4.57,N5,N5,2022-05-05 15:13:54,Packed On Time,2022-05-05 14:46:12,27.7,True,False,Noon
172,URGS5Wb8r82,STANDARD,1,1.96,N5,N5,2022-05-06 16:36:30,Packed On Time,2022-06-05 13:50:10,166.33,True,False,Noon
173,URJV78RgJ82,STANDARD,1,4.57,N5,N5,2022-05-05 15:16:49,Packed On Time,2022-05-05 14:46:29,30.33,True,False,Noon
174,UR3CkCk8g82,STANDARD,1,4.57,N5,N5,2022-05-05 15:04:04,Packed On Time,2022-05-05 14:57:39,6.42,True,False,Noon
175,URGP3NhDl82,STANDARD,1,4.57,N5,N5,2022-05-06 11:52:25,Packed late Slam,2022-05-05 14:57:04,1255.35,True,False,Morning
176,URNn7n7Dg82,STANDARD,1,3.3,N1,N1,2022-05-06 16:47:27,Packed On Time,2022-06-05 16:38:01,9.43,True,False,Noon
177,URc3FSBD382,STANDARD,1,7.319,K20,K20,2022-05-06 18:31:01,Packed On Time,2022-06-05 17:00:00,91.02,True,False,Eve
